Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
04.05.2019 19:00,Вулверхэмптон,Фулхэм,1,0,39.0,61.0,19.0,6.0,6.0,2.0,9.0,3.0,4.0,1.0,14.0,9.0,7.0,1.0,1.0,0.0,2.0,5.0,10.0,15.0,1.0,3.0,376.0,601.0,285.0,519.0,17.0,13.0,102.0,125.0,54.0,24.0,,
04.05.2019 16:30,Борнмут,Тоттенхэм,1,0,53.0,47.0,20.0,11.0,6.0,5.0,7.0,3.0,7.0,3.0,15.0,12.0,10.0,6.0,1.0,3.0,5.0,5.0,11.0,12.0,1.0,5.0,439.0,404.0,366.0,321.0,15.0,15.0,101.0,100.0,77.0,43.0,0.0,2.0
04.05.2019 00:00,Эвертон,Бёрнли,2,0,60.0,40.0,20.0,5.0,6.0,1.0,9.0,4.0,5.0,0.0,11.0,9.0,8.0,1.0,1.0,2.0,1.0,4.0,8.0,9.0,0.0,2.0,555.0,369.0,463.0,271.0,20.0,17.0,108.0,118.0,68.0,46.0,,
28.04.2019 20:30,Манчестер Юнайтед,Челси,1,1,52.0,48.0,7.0,16.0,5.0,3.0,2.0,7.0,0.0,6.0,19.0,14.0,6.0,6.0,5.0,5.0,2.0,4.0,9.0,14.0,3.0,2.0,467.0,422.0,391.0,359.0,15.0,18.0,107.0,95.0,56.0,63.0,,
28.04.2019 18:05,Бёрнли,Манчестер Сити,0,1,30.0,70.0,2.0,25.0,0.0,7.0,2.0,4.0,0.0,14.0,10.0,7.0,0.0,6.0,2.0,3.0,6.0,0.0,5.0,7.0,1.0,1.0,263.0,608.0,157.0,525.0,16.0,12.0,92.0,133.0,25.0,75.0,,
28.04.2019 16:00,Лестер,Арсенал,3,0,67.0,33.0,24.0,6.0,12.0,1.0,6.0,3.0,6.0,2.0,16.0,15.0,8.0,6.0,2.0,3.0,1.0,9.0,13.0,13.0,3.0,3.0,610.0,293.0,514.0,189.0,20.0,16.0,145.0,81.0,78.0,38.0,0.0,1.0
27.04.2019 21:30,Брайтон,Ньюкасл Юнайтед,1,1,50.0,50.0,9.0,9.0,2.0,1.0,5.0,3.0,2.0,5.0,10.0,10.0,7.0,4.0,3.0,0.0,0.0,1.0,7.0,10.0,2.0,3.0,461.0,488.0,374.0,397.0,11.0,22.0,112.0,106.0,65.0,26.0,,
27.04.2019 19:00,Кристал Пэлас,Эвертон,0,0,36.0,64.0,8.0,22.0,0.0,3.0,5.0,8.0,3.0,11.0,16.0,14.0,5.0,10.0,4.0,0.0,3.0,0.0,9.0,15.0,2.0,0.0,313.0,543.0,201.0,433.0,22.0,20.0,105.0,142.0,41.0,88.0,,
27.04.2019 19:00,Саутгемптон,Борнмут,3,3,44.0,56.0,22.0,9.0,7.0,5.0,9.0,4.0,6.0,0.0,9.0,7.0,9.0,3.0,0.0,0.0,2.0,4.0,8.0,9.0,2.0,1.0,351.0,459.0,257.0,355.0,25.0,20.0,129.0,80.0,66.0,36.0,,
27.04.2019 19:00,Уотфорд,Вулверхэмптон,1,2,56.0,44.0,10.0,11.0,1.0,4.0,5.0,3.0,4.0,4.0,16.0,13.0,4.0,5.0,3.0,5.0,2.0,0.0,10.0,11.0,3.0,2.0,495.0,386.0,410.0,291.0,17.0,22.0,123.0,115.0,56.0,50.0,,
27.04.2019 19:00,Фулхэм,Кардифф,1,0,73.0,27.0,8.0,13.0,2.0,8.0,5.0,2.0,1.0,3.0,11.0,11.0,10.0,3.0,1.0,3.0,8.0,1.0,10.0,8.0,,,623.0,220.0,542.0,147.0,23.0,28.0,121.0,105.0,46.0,47.0,,
27.04.2019 16:30,Тоттенхэм,Вест Хэм,0,1,63.0,37.0,14.0,16.0,4.0,7.0,4.0,5.0,6.0,4.0,11.0,8.0,2.0,7.0,5.0,3.0,6.0,4.0,3.0,8.0,0.0,2.0,614.0,351.0,502.0,252.0,19.0,22.0,134.0,119.0,63.0,49.0,,
27.04.2019 00:00,Ливерпуль,Хаддерсфилд,5,0,70.0,30.0,21.0,5.0,7.0,1.0,12.0,2.0,2.0,2.0,6.0,7.0,4.0,4.0,2.0,4.0,1.0,2.0,5.0,14.0,,,726.0,306.0,639.0,213.0,18.0,23.0,136.0,72.0,38.0,30.0,,
25.04.2019 00:00,Манчестер Юнайтед,Манчестер Сити,0,2,37.0,63.0,12.0,8.0,1.0,5.0,6.0,3.0,5.0,0.0,12.0,10.0,1.0,1.0,0.0,2.0,3.0,1.0,10.0,10.0,2.0,2.0,406.0,702.0,319.0,609.0,13.0,14.0,108.0,145.0,37.0,48.0,,
24.04.2019 23:45,Вулверхэмптон,Арсенал,3,1,29.0,71.0,11.0,11.0,3.0,1.0,5.0,4.0,3.0,6.0,12.0,13.0,5.0,5.0,1.0,3.0,0.0,0.0,12.0,9.0,2.0,3.0,285.0,690.0,213.0,612.0,15.0,6.0,64.0,151.0,22.0,68.0,,
23.04.2019 23:45,Тоттенхэм,Брайтон,1,0,78.0,22.0,29.0,6.0,5.0,1.0,12.0,4.0,12.0,1.0,14.0,9.0,6.0,3.0,2.0,1.0,1.0,4.0,7.0,13.0,1.0,2.0,713.0,194.0,623.0,102.0,13.0,18.0,157.0,66.0,107.0,23.0,,
23.04.2019 23:45,Уотфорд,Саутгемптон,1,1,62.0,38.0,15.0,8.0,4.0,4.0,3.0,3.0,8.0,1.0,19.0,13.0,3.0,4.0,4.0,5.0,3.0,3.0,10.0,14.0,5.0,2.0,599.0,359.0,477.0,244.0,17.0,21.0,128.0,101.0,53.0,50.0,,
23.04.2019 00:00,Челси,Бёрнли,2,2,76.0,24.0,22.0,6.0,9.0,3.0,8.0,2.0,5.0,1.0,7.0,10.0,10.0,1.0,1.0,2.0,1.0,7.0,9.0,4.0,2.0,1.0,681.0,219.0,596.0,132.0,15.0,15.0,136.0,73.0,121.0,24.0,,
21.04.2019 20:00,Арсенал,Кристал Пэлас,2,3,73.0,27.0,12.0,16.0,5.0,7.0,5.0,5.0,2.0,4.0,15.0,17.0,8.0,3.0,1.0,2.0,4.0,3.0,15.0,12.0,4.0,1.0,656.0,249.0,584.0,166.0,15.0,25.0,152.0,82.0,97.0,40.0,,
