Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания,К1 Завершено передач,К2 Завершено передач
19.07.2020 18:00,Борнмут,Саутгемптон,0,2,42.0,58.0,11.0,16.0,3.0,8.0,4.0,3.0,4.0,5.0,11.0,14.0,12.0,6.0,2.0,1.0,6.0,3.0,12.0,11.0,2.0,2.0,288.0,407.0,17.0,22.0,111.0,108.0,61.0,44.0,,,,,,
18.07.2020 21:30,Норвич,Бёрнли,0,2,42.0,58.0,6.0,23.0,2.0,8.0,2.0,7.0,2.0,8.0,18.0,10.0,6.0,8.0,1.0,1.0,6.0,2.0,9.0,16.0,,,354.0,468.0,6.0,13.0,73.0,87.0,34.0,79.0,2.0,0.0,,,,
18.07.2020 00:00,Вест Хэм,Уотфорд,3,1,41.0,59.0,10.0,14.0,4.0,3.0,2.0,6.0,4.0,5.0,15.0,13.0,9.0,3.0,1.0,2.0,2.0,1.0,11.0,11.0,0.0,2.0,297.0,424.0,12.0,15.0,86.0,105.0,61.0,67.0,,,,,,
17.07.2020 00:15,Кристал Пэлас,Манчестер Юнайтед,0,2,41.0,59.0,13.0,17.0,5.0,5.0,4.0,9.0,4.0,3.0,15.0,11.0,2.0,7.0,1.0,0.0,3.0,5.0,10.0,15.0,1.0,2.0,428.0,625.0,26.0,14.0,97.0,134.0,43.0,47.0,,,,,,
17.07.2020 00:15,Саутгемптон,Брайтон,1,1,68.0,32.0,21.0,10.0,6.0,2.0,7.0,4.0,8.0,4.0,12.0,6.0,8.0,2.0,1.0,2.0,1.0,5.0,6.0,10.0,1.0,0.0,597.0,281.0,15.0,18.0,154.0,80.0,68.0,34.0,,,,,,
16.07.2020 22:00,Лестер,Шеффилд Юнайтед,2,0,54.0,46.0,15.0,5.0,7.0,1.0,3.0,3.0,5.0,1.0,14.0,15.0,9.0,5.0,3.0,4.0,1.0,5.0,12.0,10.0,1.0,2.0,472.0,401.0,18.0,10.0,102.0,129.0,48.0,57.0,,,,,,
16.07.2020 22:00,Эвертон,Астон Вилла,1,1,55.0,45.0,9.0,15.0,1.0,1.0,6.0,7.0,2.0,7.0,13.0,15.0,5.0,5.0,0.0,0.0,1.0,0.0,15.0,13.0,2.0,1.0,443.0,362.0,10.0,9.0,106.0,111.0,48.0,50.0,,,,,,
16.07.2020 00:15,Арсенал,Ливерпуль,2,1,31.0,69.0,3.0,24.0,2.0,8.0,1.0,7.0,0.0,9.0,14.0,19.0,2.0,13.0,5.0,4.0,7.0,0.0,14.0,10.0,3.0,1.0,286.0,614.0,21.0,12.0,64.0,153.0,21.0,85.0,,,,,,
15.07.2020 22:00,Бёрнли,Вулверхэмптон,1,1,46.0,54.0,9.0,14.0,1.0,5.0,4.0,6.0,4.0,3.0,8.0,11.0,3.0,8.0,1.0,1.0,4.0,0.0,10.0,8.0,,,344.0,404.0,12.0,9.0,104.0,104.0,38.0,44.0,,,,,,
15.07.2020 22:00,Манчестер Сити,Борнмут,2,1,73.0,27.0,8.0,14.0,4.0,3.0,4.0,6.0,0.0,5.0,13.0,12.0,3.0,5.0,2.0,2.0,2.0,2.0,10.0,10.0,1.0,1.0,756.0,275.0,13.0,9.0,144.0,88.0,58.0,64.0,,,,,,
15.07.2020 22:00,Ньюкасл Юнайтед,Тоттенхэм,1,3,53.0,47.0,22.0,8.0,6.0,5.0,10.0,1.0,6.0,2.0,14.0,6.0,5.0,4.0,0.0,1.0,2.0,5.0,6.0,13.0,2.0,3.0,503.0,456.0,14.0,14.0,98.0,107.0,39.0,37.0,,,,,,
15.07.2020 00:15,Челси,Норвич,1,0,68.0,32.0,22.0,2.0,6.0,0.0,12.0,0.0,4.0,2.0,10.0,10.0,8.0,1.0,0.0,1.0,0.0,5.0,10.0,9.0,2.0,2.0,772.0,374.0,8.0,15.0,176.0,75.0,98.0,13.0,,,,,,
14.07.2020 00:00,Манчестер Юнайтед,Саутгемптон,2,2,48.0,52.0,8.0,9.0,4.0,5.0,3.0,2.0,1.0,2.0,14.0,15.0,4.0,6.0,1.0,0.0,3.0,2.0,14.0,15.0,1.0,3.0,463.0,510.0,13.0,10.0,100.0,132.0,52.0,51.0,,,,,,
12.07.2020 23:00,Борнмут,Лестер,4,1,44.0,56.0,9.0,13.0,4.0,5.0,3.0,3.0,2.0,5.0,12.0,17.0,2.0,6.0,4.0,1.0,4.0,1.0,11.0,12.0,2.0,1.0,424.0,545.0,6.0,17.0,93.0,77.0,37.0,50.0,0.0,1.0,,,,
12.07.2020 20:30,Тоттенхэм,Арсенал,2,1,37.0,63.0,15.0,13.0,9.0,4.0,1.0,6.0,5.0,3.0,11.0,18.0,6.0,5.0,2.0,0.0,3.0,7.0,16.0,11.0,5.0,3.0,378.0,636.0,22.0,12.0,100.0,118.0,29.0,37.0,,,,,,
