Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Вбрасывания,К2 Вбрасывания,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
15.05.2022 18:00,Астон Вилла,Кристал Пэлас,1,1,48.0,52.0,13.0,16.0,4.0,4.0,5.0,6.0,4.0,6.0,15.0,11.0,1.0,5.0,1.0,0.0,22.0,22.0,3.0,3.0,11.0,15.0,1.0,3.0,464.0,486.0,377.0,405.0,20.0,12.0,95.0,110.0,30.0,57.0,,
15.05.2022 18:00,Вест Хэм,Манчестер Сити,2,2,22.0,78.0,6.0,31.0,2.0,8.0,3.0,10.0,1.0,13.0,5.0,6.0,4.0,9.0,1.0,0.0,9.0,15.0,6.0,0.0,9.0,5.0,3.0,1.0,189.0,696.0,121.0,605.0,11.0,10.0,45.0,149.0,23.0,114.0,,
15.05.2022 18:00,Вулверхэмптон,Норвич,1,1,64.0,36.0,17.0,11.0,4.0,2.0,7.0,8.0,6.0,1.0,7.0,4.0,5.0,3.0,0.0,0.0,18.0,18.0,1.0,3.0,5.0,10.0,0.0,3.0,613.0,350.0,513.0,254.0,8.0,24.0,148.0,51.0,90.0,20.0,,
15.05.2022 18:00,Лидс,Брайтон,1,1,50.0,50.0,20.0,15.0,6.0,6.0,10.0,7.0,4.0,2.0,10.0,17.0,8.0,1.0,1.0,1.0,24.0,21.0,5.0,5.0,16.0,8.0,3.0,2.0,394.0,403.0,270.0,296.0,13.0,13.0,97.0,120.0,46.0,42.0,,
15.05.2022 18:00,Уотфорд,Лестер,1,5,40.0,60.0,13.0,13.0,5.0,7.0,8.0,6.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,2.0,21.0,23.0,2.0,4.0,4.0,6.0,0.0,1.0,351.0,526.0,272.0,447.0,19.0,26.0,99.0,97.0,51.0,42.0,,
15.05.2022 16:00,Тоттенхэм,Бёрнли,1,0,69.0,31.0,21.0,8.0,8.0,1.0,7.0,6.0,6.0,1.0,9.0,13.0,8.0,2.0,1.0,2.0,20.0,15.0,1.0,7.0,12.0,8.0,3.0,2.0,647.0,299.0,566.0,221.0,9.0,17.0,116.0,97.0,77.0,33.0,,
12.05.2022 23:45,Тоттенхэм,Арсенал,3,0,58.0,42.0,16.0,9.0,6.0,5.0,5.0,2.0,5.0,2.0,13.0,8.0,2.0,2.0,1.0,0.0,7.0,16.0,5.0,3.0,8.0,15.0,1.0,5.0,561.0,412.0,498.0,346.0,16.0,6.0,120.0,76.0,43.0,45.0,0.0,1.0
12.05.2022 00:15,Вулверхэмптон,Манчестер Сити,1,5,34.0,66.0,7.0,15.0,3.0,5.0,3.0,9.0,1.0,1.0,13.0,4.0,6.0,2.0,2.0,3.0,9.0,12.0,0.0,2.0,2.0,11.0,0.0,1.0,383.0,787.0,319.0,721.0,16.0,22.0,49.0,136.0,23.0,49.0,,
11.05.2022 23:45,Лестер,Норвич,3,0,65.0,35.0,20.0,9.0,8.0,5.0,5.0,4.0,7.0,0.0,4.0,11.0,10.0,2.0,1.0,0.0,25.0,18.0,5.0,5.0,10.0,5.0,,,639.0,354.0,554.0,278.0,24.0,19.0,132.0,70.0,61.0,33.0,,
11.05.2022 23:45,Уотфорд,Эвертон,0,0,48.0,52.0,6.0,16.0,0.0,5.0,5.0,4.0,1.0,7.0,9.0,4.0,1.0,13.0,1.0,1.0,12.0,17.0,5.0,0.0,5.0,12.0,1.0,2.0,470.0,488.0,385.0,384.0,15.0,25.0,84.0,128.0,35.0,66.0,,
