Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Красные карточки,К2 Красные карточки,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Вбрасывания,К2 Вбрасывания,К1 Точность передач,К2 Точность передач
07.05.2017 17:30,Ливерпуль,Саутгемптон,0,0,65,35,17,4,8,0,4,3,5,1,6,10,3,6,1,3,0,8,9,4,,,1.0,3.0,600.0,318.0,13.0,22.0,,,,
06.05.2017 21:30,Суонси,Эвертон,1,0,38,62,9,8,4,2,2,4,3,2,13,5,9,5,0,0,2,3,5,13,,,,,341.0,568.0,19.0,11.0,,,,
06.05.2017 19:00,Бёрнли,Вест Бромвич,2,2,55,45,14,11,4,3,5,1,5,7,15,10,5,8,3,1,1,2,9,14,,,1.0,3.0,383.0,306.0,11.0,14.0,,,,
06.05.2017 19:00,Борнмут,Сток Сити,2,2,58,42,12,14,2,3,7,6,3,5,17,11,0,7,1,2,1,0,10,15,,,2.0,0.0,514.0,358.0,13.0,13.0,,,,
06.05.2017 19:00,Лестер,Уотфорд,3,0,42,58,11,14,5,7,3,5,3,2,13,12,10,1,5,4,7,2,8,10,,,,,333.0,487.0,24.0,12.0,,,,
06.05.2017 19:00,Халл,Сандерленд,0,2,60,40,16,12,6,5,5,6,5,1,12,10,7,4,0,4,3,6,10,8,,,3.0,1.0,451.0,317.0,13.0,16.0,,,,
06.05.2017 16:30,Манчестер Сити,Кристал Пэлас,5,0,69,31,26,5,12,2,10,2,4,1,8,14,9,3,2,0,2,7,12,8,,,1.0,3.0,611.0,266.0,16.0,17.0,,,,
06.05.2017 00:00,Вест Хэм,Тоттенхэм,1,0,32,68,13,11,5,5,7,4,1,2,9,11,3,7,3,0,5,4,8,9,,,4.0,2.0,273.0,571.0,15.0,18.0,23.0,33.0,,
02.05.2017 00:00,Уотфорд,Ливерпуль,0,1,40,60,9,12,2,8,4,2,3,2,9,17,3,5,6,0,7,2,11,9,,,3.0,1.0,355.0,535.0,20.0,14.0,,,,
30.04.2017 20:30,Тоттенхэм,Арсенал,2,0,51,49,20,12,11,4,6,4,3,4,18,9,14,5,2,5,4,9,7,15,,,1.0,3.0,415.0,405.0,15.0,23.0,,,,
30.04.2017 18:05,Мидлсбро,Манчестер Сити,2,2,32,68,14,22,6,4,6,10,2,8,10,9,4,11,1,1,2,4,9,9,,,4.0,4.0,257.0,542.0,14.0,7.0,,,,
30.04.2017 18:05,Эвертон,Челси,0,3,50,50,12,11,4,5,6,3,2,3,12,15,2,4,2,1,2,4,13,11,,,3.0,4.0,424.0,419.0,21.0,11.0,,,,
30.04.2017 16:00,Манчестер Юнайтед,Суонси,1,1,55,45,12,12,6,4,5,5,1,3,14,12,5,2,1,2,3,5,11,13,,,2.0,2.0,519.0,422.0,13.0,10.0,15.0,17.0,,
29.04.2017 21:30,Кристал Пэлас,Бёрнли,0,2,64,36,15,9,5,3,6,2,4,4,12,13,14,4,2,1,1,5,11,12,,,2.0,0.0,460.0,269.0,12.0,21.0,39.0,18.0,,
29.04.2017 19:00,Вест Бромвич,Лестер,0,1,55,45,16,6,4,1,7,4,5,1,10,15,5,6,1,1,0,4,14,9,,,2.0,2.0,393.0,323.0,16.0,17.0,,,,
29.04.2017 19:00,Сандерленд,Борнмут,0,1,41,59,17,15,5,7,9,4,3,4,10,18,6,5,4,1,6,5,13,9,,,3.0,2.0,336.0,505.0,23.0,16.0,,,,
29.04.2017 19:00,Саутгемптон,Халл,0,0,52,48,11,8,2,1,3,3,6,4,13,11,6,6,2,1,1,2,9,13,,,0.0,3.0,433.0,399.0,18.0,18.0,,,,
29.04.2017 19:00,Сток Сити,Вест Хэм,0,0,57,43,18,12,4,4,7,4,7,4,7,13,5,3,2,4,4,4,12,3,,,1.0,0.0,505.0,373.0,17.0,18.0,,,,
28.04.2017 00:00,Манчестер Сити,Манчестер Юнайтед,0,0,69,31,19,3,6,1,8,1,5,1,8,12,7,4,2,1,1,6,10,8,0.0,1.0,1.0,1.0,644.0,288.0,19.0,23.0,,,,
27.04.2017 00:00,Кристал Пэлас,Тоттенхэм,0,1,32,68,6,18,1,4,2,8,3,6,15,13,2,11,1,0,3,1,13,15,,,3.0,3.0,271.0,595.0,24.0,22.0,,,,
26.04.2017 23:45,Арсенал,Лестер,1,0,69,31,12,7,5,3,6,2,1,2,19,16,12,1,8,6,3,4,9,13,,,2.0,4.0,691.0,316.0,10.0,14.0,,,,
26.04.2017 23:45,Мидлсбро,Сандерленд,1,0,49,51,6,10,2,4,3,4,1,2,17,16,3,5,1,6,4,1,15,11,,,3.0,3.0,396.0,413.0,13.0,15.0,,,,
25.04.2017 23:45,Челси,Саутгемптон,4,2,48,52,17,12,7,4,5,4,5,4,11,13,6,7,0,2,2,3,13,9,,,2.0,2.0,478.0,508.0,15.0,9.0,,,,
23.04.2017 20:30,Ливерпуль,Кристал Пэлас,1,2,72,28,14,7,1,3,7,3,6,1,13,9,4,3,0,3,1,0,8,10,,,1.0,2.0,626.0,234.0,23.0,28.0,30.0,24.0,,
