Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания
01.05.2018 00:00,Тоттенхэм,Уотфорд,2,0,61,39,13,13,3,5,6,5,4,3,13,14,4,0,3,3,5,1,11,10,556,356,20,19,90.0,77.0,61.0,40.0,1.0,0.0,,,,
29.04.2018 20:30,Манчестер Юнайтед,Арсенал,2,1,59,41,17,8,3,3,7,4,7,1,8,14,9,0,2,1,2,1,12,7,609,438,16,28,114.0,85.0,84.0,32.0,0.0,1.0,,,,
29.04.2018 18:15,Вест Хэм,Манчестер Сити,1,4,25,75,4,19,1,7,2,7,1,5,12,9,0,7,4,1,3,0,5,11,282,874,22,16,65.0,113.0,30.0,72.0,0.0,1.0,,,,
28.04.2018 21:30,Суонси,Челси,0,1,51,49,10,11,3,3,5,5,2,3,13,14,1,2,1,3,2,3,13,9,581,572,19,11,100.0,92.0,54.0,42.0,1.0,1.0,,,,
28.04.2018 19:00,Бёрнли,Брайтон,0,0,44,56,10,9,4,1,2,4,4,4,20,9,3,4,4,3,1,4,5,17,341,432,9,10,92.0,104.0,65.0,75.0,0.0,2.0,,,,
28.04.2018 19:00,Кристал Пэлас,Лестер,5,0,50,50,14,6,9,1,4,2,1,3,9,13,8,2,1,0,1,4,11,9,399,389,14,18,104.0,120.0,70.0,60.0,1.0,1.0,0.0,1.0,,
28.04.2018 19:00,Ньюкасл Юнайтед,Вест Бромвич,0,1,64,36,17,9,2,2,10,6,5,1,15,8,5,1,0,2,1,2,8,13,585,339,20,13,157.0,118.0,116.0,68.0,1.0,3.0,,,,
28.04.2018 19:00,Саутгемптон,Борнмут,2,1,41,59,14,14,6,7,4,6,4,1,13,13,5,8,1,2,6,4,12,11,354,502,20,11,86.0,91.0,47.0,62.0,5.0,1.0,,,,
28.04.2018 19:00,Хаддерсфилд,Эвертон,0,2,54,46,9,7,2,5,2,1,5,1,11,10,4,3,1,3,3,2,9,8,495,427,11,22,121.0,96.0,45.0,33.0,1.0,0.0,,,,
28.04.2018 16:30,Ливерпуль,Сток Сити,0,0,72,28,20,5,2,1,8,3,10,1,18,9,9,2,2,2,1,2,7,14,632,253,4,17,129.0,72.0,80.0,27.0,1.0,2.0,,,,
24.04.2018 00:00,Эвертон,Ньюкасл Юнайтед,1,0,57,43,9,9,1,2,5,4,3,3,12,15,4,6,4,1,2,0,10,11,476,362,11,18,102.0,97.0,55.0,56.0,2.0,1.0,,,,
22.04.2018 20:30,Манчестер Сити,Суонси,5,0,83,17,19,4,12,1,4,2,3,1,8,10,5,1,4,1,1,7,6,8,1015,203,14,11,130.0,54.0,88.0,24.0,0.0,1.0,,,,
22.04.2018 17:30,Арсенал,Вест Хэм,4,1,68,32,20,11,8,4,8,4,4,3,10,11,8,6,1,1,3,4,11,9,631,296,4,10,97.0,87.0,98.0,59.0,3.0,2.0,,,,
22.04.2018 17:30,Сток Сити,Бёрнли,1,1,43,57,8,16,3,7,4,5,1,4,5,17,3,8,2,0,6,2,15,5,324,422,18,8,131.0,148.0,88.0,117.0,2.0,1.0,,,,
21.04.2018 19:00,Уотфорд,Кристал Пэлас,0,0,52,48,14,6,4,1,10,3,0,2,14,17,4,3,0,1,1,4,17,13,355,341,27,16,96.0,84.0,65.0,41.0,3.0,5.0,,,,
21.04.2018 16:30,Вест Бромвич,Ливерпуль,2,2,38,62,13,9,6,3,6,4,1,2,7,13,7,4,1,2,1,4,12,5,344,584,15,11,103.0,126.0,66.0,70.0,0.0,1.0,,,,
19.04.2018 23:45,Бёрнли,Челси,1,2,39,61,5,16,2,5,2,5,1,6,12,12,3,2,3,1,3,1,9,11,386,608,13,7,119.0,116.0,26.0,35.0,1.0,0.0,,,,
