Дата,Команда 1,Команда 2,К1 Счет,К2 Счет
02.04.2023 18:00,Вест Хэм,Саутгемптон,1,0
01.04.2023 21:30,Челси,Астон Вилла,0,2
01.04.2023 19:00,Арсенал,Лидс,4,1
01.04.2023 19:00,Борнмут,Фулхэм,2,1
01.04.2023 19:00,Брайтон,Брентфорд,3,3
01.04.2023 19:00,Кристал Пэлас,Лестер,2,1
01.04.2023 19:00,Ноттингем Форест,Вулверхэмптон,1,1
01.04.2023 16:30,Манчестер Сити,Ливерпуль,4,1
19.03.2023 19:00,Арсенал,Кристал Пэлас,4,1
18.03.2023 22:30,Челси,Эвертон,2,2
18.03.2023 20:00,Астон Вилла,Борнмут,3,0
18.03.2023 20:00,Брентфорд,Лестер,1,1
18.03.2023 20:00,Вулверхэмптон,Лидс,2,4
18.03.2023 20:00,Саутгемптон,Тоттенхэм,3,3
18.03.2023 01:00,Ноттингем Форест,Ньюкасл Юнайтед,1,2
16.03.2023 00:30,Брайтон,Кристал Пэлас,1,0
16.03.2023 00:30,Саутгемптон,Брентфорд,0,2
12.03.2023 21:30,Ньюкасл Юнайтед,Вулверхэмптон,2,1
12.03.2023 19:00,Вест Хэм,Астон Вилла,1,1
12.03.2023 19:00,Манчестер Юнайтед,Саутгемптон,0,0
12.03.2023 19:00,Фулхэм,Арсенал,0,3
11.03.2023 22:30,Кристал Пэлас,Манчестер Сити,0,1
11.03.2023 20:00,Лестер,Челси,1,3
11.03.2023 20:00,Лидс,Брайтон,2,2
11.03.2023 20:00,Тоттенхэм,Ноттингем Форест,3,1
11.03.2023 20:00,Эвертон,Брентфорд,1,0
11.03.2023 17:30,Борнмут,Ливерпуль,1,0
07.03.2023 01:00,Брентфорд,Фулхэм,3,2
05.03.2023 21:30,Ливерпуль,Манчестер Юнайтед,7,0
05.03.2023 19:00,Ноттингем Форест,Эвертон,2,2
04.03.2023 22:30,Саутгемптон,Лестер,1,0
04.03.2023 20:00,Арсенал,Борнмут,3,2
04.03.2023 20:00,Астон Вилла,Кристал Пэлас,1,0
04.03.2023 20:00,Брайтон,Вест Хэм,4,0
04.03.2023 20:00,Вулверхэмптон,Тоттенхэм,1,0
04.03.2023 20:00,Челси,Лидс,1,0
04.03.2023 17:30,Манчестер Сити,Ньюкасл Юнайтед,2,0
02.03.2023 01:00,Ливерпуль,Вулверхэмптон,2,0
02.03.2023 00:45,Арсенал,Эвертон,4,0
26.02.2023 18:30,Тоттенхэм,Челси,2,0
26.02.2023 00:45,Кристал Пэлас,Ливерпуль,0,0
25.02.2023 22:30,Борнмут,Манчестер Сити,1,4
25.02.2023 20:00,Вест Хэм,Ноттингем Форест,4,0
25.02.2023 20:00,Лестер,Арсенал,0,1
25.02.2023 20:00,Лидс,Саутгемптон,1,0
25.02.2023 20:00,Эвертон,Астон Вилла,0,2
25.02.2023 01:00,Фулхэм,Вулверхэмптон,1,1
19.02.2023 21:30,Тоттенхэм,Вест Хэм,2,0
19.02.2023 19:00,Манчестер Юнайтед,Лестер,3,0
18.02.2023 22:30,Ньюкасл Юнайтед,Ливерпуль,0,2
18.02.2023 20:00,Брайтон,Фулхэм,0,1
18.02.2023 20:00,Брентфорд,Кристал Пэлас,1,1
18.02.2023 20:00,Вулверхэмптон,Борнмут,0,1
18.02.2023 20:00,Ноттингем Форест,Манчестер Сити,1,1
18.02.2023 20:00,Челси,Саутгемптон,0,1
18.02.2023 20:00,Эвертон,Лидс,1,0
18.02.2023 17:30,Астон Вилла,Арсенал,2,4
16.02.2023 00:30,Арсенал,Манчестер Сити,1,3
14.02.2023 01:00,Ливерпуль,Эвертон,2,0
12.02.2023 21:30,Манчестер Сити,Астон Вилла,3,1
12.02.2023 19:00,Лидс,Манчестер Юнайтед,0,2
11.02.2023 22:30,Борнмут,Ньюкасл Юнайтед,1,1
11.02.2023 20:00,Арсенал,Брентфорд,1,1
11.02.2023 20:00,Кристал Пэлас,Брайтон,1,1
11.02.2023 20:00,Лестер,Тоттенхэм,4,1
11.02.2023 20:00,Саутгемптон,Вулверхэмптон,1,2
11.02.2023 20:00,Фулхэм,Ноттингем Форест,2,0
11.02.2023 17:30,Вест Хэм,Челси,1,1
09.02.2023 01:00,Манчестер Юнайтед,Лидс,2,2
05.02.2023 21:30,Тоттенхэм,Манчестер Сити,1,0
05.02.2023 19:00,Ноттингем Форест,Лидс,1,0
04.02.2023 22:30,Ньюкасл Юнайтед,Вест Хэм,1,1
04.02.2023 20:00,Астон Вилла,Лестер,2,4
04.02.2023 20:00,Брайтон,Борнмут,1,0
04.02.2023 20:00,Брентфорд,Саутгемптон,3,0
04.02.2023 20:00,Вулверхэмптон,Ливерпуль,3,0
04.02.2023 20:00,Манчестер Юнайтед,Кристал Пэлас,2,1
04.02.2023 17:30,Эвертон,Арсенал,1,0
04.02.2023 01:00,Челси,Фулхэм,0,0
24.01.2023 01:15,Фулхэм,Тоттенхэм,0,1
22.01.2023 21:30,Арсенал,Манчестер Юнайтед,3,2
22.01.2023 19:00,Лидс,Брентфорд,0,0
22.01.2023 19:00,Манчестер Сити,Вулверхэмптон,3,0
21.01.2023 22:30,Кристал Пэлас,Ньюкасл Юнайтед,0,0
21.01.2023 20:00,Борнмут,Ноттингем Форест,1,1
21.01.2023 20:00,Вест Хэм,Эвертон,2,0
21.01.2023 20:00,Лестер,Брайтон,2,2
21.01.2023 20:00,Саутгемптон,Астон Вилла,0,1
21.01.2023 17:30,Ливерпуль,Челси,0,0
20.01.2023 01:00,Манчестер Сити,Тоттенхэм,4,2
19.01.2023 01:00,Кристал Пэлас,Манчестер Юнайтед,1,1
15.01.2023 21:30,Тоттенхэм,Арсенал,0,2
15.01.2023 19:00,Ньюкасл Юнайтед,Фулхэм,1,0
15.01.2023 19:00,Челси,Кристал Пэлас,1,0
14.01.2023 22:30,Брентфорд,Борнмут,2,0
14.01.2023 20:00,Брайтон,Ливерпуль,3,0
14.01.2023 20:00,Вулверхэмптон,Вест Хэм,1,0
14.01.2023 20:00,Ноттингем Форест,Лестер,2,0
14.01.2023 20:00,Эвертон,Саутгемптон,1,2
14.01.2023 17:30,Манчестер Юнайтед,Манчестер Сити,2,1
14.01.2023 01:00,Астон Вилла,Лидс,2,1
13.01.2023 01:00,Фулхэм,Челси,2,1
06.01.2023 01:00,Челси,Манчестер Сити,0,1
05.01.2023 01:00,Астон Вилла,Вулверхэмптон,1,1
05.01.2023 01:00,Кристал Пэлас,Тоттенхэм,0,4
05.01.2023 00:45,Лидс,Вест Хэм,2,2
05.01.2023 00:30,Саутгемптон,Ноттингем Форест,0,1
