Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Всего передач,К2 Всего передач,К1 Вбрасывания,К2 Вбрасывания
30.04.2016 19:00,Уотфорд,Астон Вилла,3,2,65,35,17,7,5,2,7,4,5,1,13.0,15.0,8,4,1,3,0,2,14,10,2.0,3.0,0.0,1.0,,,,
30.04.2016 19:00,Эвертон,Борнмут,2,1,57,43,12,16,5,2,4,7,3,7,9.0,5.0,3,5,1,1,1,3,4,8,1.0,0.0,,,,,,
26.04.2016 00:00,Тоттенхэм,Вест Бромвич,1,1,66,34,19,16,2,3,9,8,8,5,14.0,9.0,9,7,1,1,2,1,8,13,0.0,1.0,,,,,,
24.04.2016 20:15,Лестер,Суонси,4,0,38,62,18,9,9,1,6,4,3,4,11.0,18.0,4,6,3,1,1,5,15,10,1.0,2.0,,,,,,
24.04.2016 18:05,Сандерленд,Арсенал,0,0,30,70,12,19,3,6,6,5,3,8,12.0,15.0,7,7,5,4,6,3,10,8,2.0,4.0,,,,,,
23.04.2016 19:00,Астон Вилла,Саутгемптон,2,4,42,58,15,17,6,7,7,6,2,4,12.0,9.0,6,11,0,4,3,4,8,9,2.0,0.0,,,,,,
23.04.2016 19:00,Борнмут,Челси,1,4,45,55,13,16,4,4,6,4,3,8,7.0,11.0,10,7,0,3,0,3,11,4,1.0,0.0,,,,,,
23.04.2016 19:00,Ливерпуль,Ньюкасл Юнайтед,2,2,67,33,13,6,4,3,3,3,6,0,18.0,11.0,5,4,3,1,1,2,8,17,1.0,1.0,,,,,,
23.04.2016 16:45,Манчестер Сити,Сток Сити,4,0,53,47,11,14,6,2,3,11,2,1,9.0,9.0,9,4,1,2,2,2,8,8,,,,,,,,
21.04.2016 23:45,Арсенал,Вест Бромвич,2,0,71,29,15,8,6,1,6,4,3,3,14.0,17.0,2,6,3,0,1,4,14,14,0.0,1.0,,,,,,
21.04.2016 00:00,Ливерпуль,Эвертон,4,0,67,33,37,3,13,0,14,2,10,1,11.0,9.0,9,1,2,1,0,9,8,11,1.0,1.0,0.0,1.0,,,,
21.04.2016 00:00,Манчестер Юнайтед,Кристал Пэлас,2,0,66,34,16,5,10,0,3,1,3,4,8.0,16.0,10,2,3,1,0,8,13,7,1.0,2.0,,,,,,
20.04.2016 23:45,Вест Хэм,Уотфорд,3,1,46,54,18,7,7,4,6,2,5,1,17.0,13.0,4,2,2,2,3,4,11,17,0.0,4.0,0.0,1.0,,,,
19.04.2016 23:45,Ньюкасл Юнайтед,Манчестер Сити,1,1,43,57,5,9,3,5,2,3,0,1,11.0,15.0,5,3,2,3,4,2,13,8,3.0,2.0,,,,,,
19.04.2016 00:00,Сток Сити,Тоттенхэм,0,4,51,49,12,23,2,6,6,13,4,4,13.0,10.0,5,3,0,1,2,2,12,12,2.0,0.0,,,,,,
17.04.2016 20:00,Арсенал,Кристал Пэлас,1,1,72,28,21,7,6,2,8,4,7,1,15.0,9.0,10,5,2,2,1,5,7,13,0.0,2.0,,,,,,
17.04.2016 17:30,Борнмут,Ливерпуль,1,2,51,49,17,19,4,6,5,9,8,4,12.0,12.0,5,4,2,3,4,3,9,9,,,,,,,,
17.04.2016 17:30,Лестер,Вест Хэм,2,2,43,57,6,19,2,4,4,12,0,3,13.0,15.0,0,5,2,0,2,0,14,14,3.0,3.0,1.0,0.0,,,,
16.04.2016 21:30,Челси,Манчестер Сити,0,3,52,48,11,11,4,8,3,1,4,2,16.0,17.0,11,3,5,1,5,4,12,15,2.0,3.0,1.0,0.0,,,,
16.04.2016 19:00,Вест Бромвич,Уотфорд,0,1,57,43,16,11,4,4,8,4,4,3,14.0,12.0,9,3,1,0,3,4,11,17,0.0,3.0,,,,,,
16.04.2016 19:00,Манчестер Юнайтед,Астон Вилла,1,0,66,34,13,7,4,1,7,4,2,2,10.0,13.0,14,3,4,0,1,3,9,10,0.0,1.0,,,,,,
16.04.2016 19:00,Ньюкасл Юнайтед,Суонси,3,0,34,66,12,11,7,1,4,7,1,3,10.0,15.0,3,7,4,0,1,4,13,9,2.0,1.0,,,,,,
16.04.2016 19:00,Эвертон,Саутгемптон,1,1,49,51,7,18,2,4,2,9,3,5,17.0,7.0,3,10,0,3,3,1,8,14,1.0,1.0,,,,,,
16.04.2016 16:45,Норвич,Сандерленд,0,3,64,36,18,8,5,3,6,5,7,0,16.0,10.0,14,0,3,5,0,5,7,11,2.0,2.0,,,,,,
14.04.2016 00:00,Кристал Пэлас,Эвертон,0,0,57,43,18,9,6,5,9,2,3,2,9.0,7.0,10,7,0,0,5,6,7,9,0.0,3.0,0.0,1.0,,,,
10.04.2016 20:00,Ливерпуль,Сток Сити,4,1,53,47,14,10,6,3,4,6,4,1,17.0,16.0,6,3,1,3,2,2,14,14,0.0,2.0,,,,,,
10.04.2016 20:00,Тоттенхэм,Манчестер Юнайтед,3,0,47,53,16,5,8,1,7,1,1,3,13.0,13.0,2,7,3,3,1,5,10,10,3.0,3.0,,,,,,
10.04.2016 17:30,Сандерленд,Лестер,0,2,45,55,15,17,1,7,8,7,6,3,10.0,11.0,1,7,2,1,5,1,9,9,1.0,1.0,,,,,,
09.04.2016 21:30,Манчестер Сити,Вест Бромвич,2,1,62,38,13,13,4,2,4,6,5,5,7.0,13.0,8,8,3,1,1,2,10,7,0.0,1.0,,,,,,
09.04.2016 19:00,Астон Вилла,Борнмут,1,2,41,59,6,12,1,3,5,6,0,3,12.0,15.0,3,8,2,1,1,0,13,11,2.0,2.0,,,,,,
09.04.2016 19:00,Кристал Пэлас,Норвич,1,0,53,47,12,13,5,4,5,6,2,3,12.0,16.0,10,4,3,2,4,4,13,10,2.0,1.0,,,,,,
09.04.2016 19:00,Саутгемптон,Ньюкасл Юнайтед,3,1,51,49,20,5,6,3,9,1,5,1,8.0,10.0,11,2,2,1,2,3,8,7,,,,,,,,
09.04.2016 19:00,Суонси,Челси,1,0,39,61,12,8,6,2,3,3,3,3,16.0,17.0,1,9,1,3,2,5,15,13,5.0,4.0,,,,,,
09.04.2016 19:00,Уотфорд,Эвертон,1,1,42,58,13,12,5,7,5,3,3,2,13.0,16.0,7,6,3,3,6,4,13,10,2.0,1.0,,,,,,
09.04.2016 16:45,Вест Хэм,Арсенал,3,3,39,61,19,10,7,5,7,3,5,2,10.0,11.0,7,4,2,1,2,4,11,8,2.0,0.0,,,,,,
03.04.2016 20:00,Манчестер Юнайтед,Эвертон,1,0,54,46,10,7,2,1,3,1,5,5,9.0,17.0,5,5,2,3,1,1,15,6,2.0,0.0,,,,,,
03.04.2016 17:30,Лестер,Саутгемптон,1,0,46,54,11,9,4,1,2,5,5,3,15.0,14.0,7,8,2,2,1,3,12,13,2.0,2.0,,,,,,
02.04.2016 21:30,Ливерпуль,Тоттенхэм,1,1,42,58,15,18,7,5,2,7,6,6,12.0,11.0,12,9,0,1,4,6,11,11,2.0,0.0,,,,,,
02.04.2016 19:00,Арсенал,Уотфорд,4,0,69,31,19,6,12,2,4,2,3,2,13.0,8.0,8,3,1,3,2,8,7,10,1.0,1.0,,,,,,
